Graph name,Number of nodes,Number of edges,Minimum degree,Maximum degree,Average degree,Avg clustering coefficient,Assortativity,Average path length,Diameter
256_4_4_2_15_18_p.net,256,2274,15,23,17.765625,0.733061145556,0.028623920461897174,2.78210784314,5
256_4_4_4_13_18_p.net,256,2299,10,25,17.9609375,0.511299554461,0.0006954016350719745,2.65110294118,4
BA1000.net,1000,3990,4,115,7.98,0.0354487622981,-0.05420735055404407,3.18327927928,5
ER1000k8.net,1000,3956,1,17,7.912,0.0080421101774,-0.016833267357878594,3.56977777778,6
ER5000k8.net,5000,19980,4,17,7.992,0.0013888966589,-0.05547627909142186,4.37974106821,6
homorand_N1000_K4_0.net,1000,2000,4,4,4.0,0.002,nan,5.64,9
homorand_N1000_K6_0.net,1000,2994,5,6,5.988,0.0038,0.1919028340081363,4.1912992993,6
rb125.net,125,410,4,100,6.56,0.837295055821,-0.1729819598501203,2.30322580645,4
SF_1000_g2.5.net,1000,1905,2,30,3.81,0.00960504089007,0.019981521865573563,4.61493293293,10
SF_1000_g2.7.net,1000,1668,2,24,3.336,0.00665045430706,-0.0019608989554759882,5.46882682683,12
SF_1000_g3.0.net,1000,1517,2,26,3.034,0.00515919452102,-0.00853880659775094,5.96506306306,13
SF_500_g2.7.net,500,859,2,22,3.436,0.00777380957536,-0.025585881102284738,4.87593587174,12
ws1000.net,1000,3000,3,13,6.0,0.00436484071484,-0.09992885591125493,4.0913033033,6
ws2000.net,2000,6000,3,13,6.0,0.00333015873016,-0.07617895966626093,4.51109304652,7
airports_UW.net,3618,14142,1,250,7.8175787728,0.495748931235,0.04622413053190781,4.43959464191,17
dolphins.net,62,159,1,12,5.12903225806,0.258958246055,-0.04359402821531252,3.3569539926,8
PGP.net,10680,24316,1,205,4.55355805243,0.265945224301,0.23821137170816228,7.48554005148,24
zachary_unwh.net,34,78,1,17,4.58823529412,0.570638478208,-0.47561309768461457,2.40819964349,5
20x2+5x2.net,50,404,4,22,16.16,0.971558441558,0.9186473753688221,2.38775510204,4
circle9.net,9,9,2,2,2.0,0.0,nan,2.5,4
graph3+1+3.net,7,8,2,3,2.28571428571,0.666666666667,-0.6,2.19047619048,4
graph4+4.net,8,13,3,4,3.25,0.875,-0.08333333333332978,1.85714285714,3
grid-p-6x6.net,36,72,4,4,4.0,0.0,nan,3.08571428571,6
rb25.net,25,66,4,20,5.28,0.902315789474,-0.1635258358662614,2.03333333333,4
star.net,9,8,1,8,1.77777777778,0.0,-1.0,1.77777777778,2
wheel.net,9,16,3,8,3.55555555556,0.624338624339,-0.3333333333333333,1.55555555556,2
